dish_id,dish_name,category_name
516,2025-25800桌菜,套餐桌菜
493,KKDAY四人套餐,套餐桌菜
492,KKDAY雙人套餐,套餐桌菜
514,2025-15800桌菜,套餐桌菜
515,2025-18800桌菜,套餐桌菜
507,2025單人套餐1380元,套餐桌菜
508,2025單人套餐1680元,套餐桌菜
509,2025單人套餐2880元,套餐桌菜
510,2025雙人套餐2680元,套餐桌菜
511,2025雙人套餐4880元,套餐桌菜
512,2025-9800桌菜,套餐桌菜
513,2025-12800桌菜,套餐桌菜
422,奶油咖哩大蝦,熱炒手工菜
421,奶油咖哩海鮮,熱炒手工菜
419,櫻花蝦醬炒干貝,熱炒手工菜
418,金沙鳳梨,熱炒手工菜
417,避風塘金沙肋排,熱炒手工菜
416,野生海明蝦,熱炒手工菜
415,嚴選海大蝦,熱炒手工菜
413,古味南煎肝,熱炒手工菜
412,桂花蟳肉,熱炒手工菜
411,桂花風散翅,熱炒手工菜
410,蠔油生炒干貝,熱炒手工菜
409,蠔油蔥爆蟳肉,熱炒手工菜
408,雞油炒時蔬,熱炒手工菜
407,扁魚娃娃菜,熱炒手工菜
406,生炒生卷麵,熱炒手工菜
405,鱔魚意麵,熱炒手工菜
404,生炒生卷,熱炒手工菜
403,霞味生炒鱔魚,熱炒手工菜
402,筍乾腿庫,熱炒手工菜
423,奶油咖哩螃蟹,熱炒手工菜
420,奶油咖哩戰斧,熱炒手工菜
426,經典生炒鱔魚,熱炒手工菜
427,蛤蠣絲瓜,熱炒手工菜
428,季節清炒什錦蘆筍,熱炒手工菜
429,香檸大蝦球,熱炒手工菜
430,海鮮醬炒雙脆,熱炒手工菜
431,桂花松葉蟹,熱炒手工菜
432,黃金娃娃菜,熱炒手工菜
433,黃金蟹肉娃娃菜,熱炒手工菜
434,瑤柱酥娃娃菜,熱炒手工菜
435,牡蠣絲瓜,熱炒手工菜
436,大豆苗,熱炒手工菜
895,生卷意麵,熱炒手工菜
424,金沙中卷,熱炒手工菜
425,瑤柱酥絲瓜,熱炒手工菜
157,2025桌菜20888,2025年菜
156,2025桌菜12888,2025年菜
155,2025桌菜7888,2025年菜
154,造型流沙包,2025年菜
153,阿霞招牌甜湯,2025年菜
152,花膠鮑魚燉雞,2025年菜
151,四寶清燉大翅,2025年菜
150,鮑魚四寶豬肚,2025年菜
149,花膠手剝蝦羹,2025年菜
148,五柳枝鮮魚,2025年菜
147,樹子清蒸石斑,2025年菜
146,筍乾老滷腿庫,2025年菜
145,避風塘金沙肋排,2025年菜
144,生炒鱔魚意麵,2025年菜
143,爆焱生炒鱔魚,2025年菜
142,招牌紅蟳米糕,2025年菜
141,白斬雞,2025年菜
140,煙燻鴨,2025年菜
139,豬肝捲,2025年菜
135,三色拼盤,2025年菜
134,炭烤野生烏魚子,2025年菜
136,手工粉腸,2025年菜
138,招牌蝦棗,2025年菜
137,經典蟳丸,2025年菜
375,櫻花蝦炒飯,招牌菜與主食
893,清蒸處女蟳,招牌菜與主食
891,松葉蟹櫻蝦米糕,招牌菜與主食
890,清蒸紅蟳,招牌菜與主食
892,台式炒意麵,招牌菜與主食
348,招牌紅蟳米糕,招牌菜與主食
349,處女蟳,招牌菜與主食
350,紅蟳,招牌菜與主食
351,大沙母,招牌菜與主食
352,招牌米糕,招牌菜與主食
353,蝦仁蛋炒飯,招牌菜與主食
354,野生烏金炒飯,招牌菜與主食
356,經典炒炊粉,招牌菜與主食
358,台式炒意麵,招牌菜與主食
360,大沙母米糕,招牌菜與主食
361,米糕一起蒸,招牌菜與主食
362,櫻花蝦米糕,招牌菜與主食
363,櫻花蝦鰻魚米糕,招牌菜與主食
364,蒲燒鯛米糕,招牌菜與主食
365,鱔魚麵,招牌菜與主食
366,五味干貝,招牌菜與主食
367,紅蟳米糕,招牌菜與主食
368,櫻花蝦蒲燒鰻米糕,招牌菜與主食
369,黃金白玉卷,招牌菜與主食
370,猴頭菇素米糕,招牌菜與主食
371,紅蟳米糕（乙支）,招牌菜與主食
373,蒲燒鰻魚米糕,招牌菜與主食
374,松葉蟹櫻花蝦米糕,招牌菜與主食
376,主廚炒飯,招牌菜與主食
377,蛋炒飯,招牌菜與主食
885,一口烏,拼盤單點
876,炭烤野生烏金2兩,拼盤單點
878,五味九孔鮑(3顆),拼盤單點
879,手工泡菜,拼盤單點
880,古法煙燻鴨,拼盤單點
884,烏魚子（整匹）,拼盤單點
283,彩椒海蜇,拼盤單點
877,炭烤野生烏金4兩,拼盤單點
282,海味鮮蔬沙拉,拼盤單點
284,白灼豬心,拼盤單點
281,錦霞饗宴拼盤,拼盤單點
295,涼筍,拼盤單點
294,煙燻去骨雞腿,拼盤單點
293,山海筍乾,拼盤單點
292,五味九孔鮑,拼盤單點
291,阿里山咖啡香腸,拼盤單點
287,五味軟絲,拼盤單點
240,炭烤野生烏金,拼盤單點
241,煙燻鴨,拼盤單點
242,白斬雞,拼盤單點
243,玉米雞,拼盤單點
244,手工粉腸,拼盤單點
245,自製蟳丸,拼盤單點
246,招牌炸蝦棗,拼盤單點
247,炸豬肝捲,拼盤單點
248,涼拌海蜇絲,拼盤單點
249,白酌豬心,拼盤單點
250,藥膳豬心,拼盤單點
251,川燙軟絲,拼盤單點
253,老滷大腸頭,拼盤單點
255,雪幸子,拼盤單點
256,老滷豬腳,拼盤單點
257,鹽水活蝦,拼盤單點
258,虱目魚嶺,拼盤單點
259,鹽酥玉晶蝦,拼盤單點
260,蔥串肥腸,拼盤單點
280,彩霞饗宴拼盤,拼盤單點
262,五味九孔鮑/3顆,拼盤單點
279,錦繡饗宴拼盤,拼盤單點
278,象拔蚌魚子醬沙拉,拼盤單點
265,烏金醬豆腐,拼盤單點
266,烏金醬鮮菇沙拉,拼盤單點
273,虱目魚餅,拼盤單點
268,拼盤雞肉,拼盤單點
269,拼盤鴨肉,拼盤單點
270,金沙生捲,拼盤單點
276,蔬果和風盤,拼盤單點
275,經典手工拼盤,拼盤單點
272,香芒大蝦,拼盤單點
271,金沙大蝦,拼盤單點
285,思慕魚脆餅,拼盤單點
298,五品綜合拼盤,拼盤隨選
297,四品隨選,拼盤隨選
296,四品綜合拼盤,拼盤隨選
299,六品綜合拼盤,拼盤隨選
301,經典五品拼盤,拼盤隨選
300,豪華六品拼盤,拼盤隨選
303,三品隨選,拼盤隨選
302,烏魚子拼盤,拼盤隨選
875,四色拼盤,拼盤隨選
874,三色拼盤,拼盤隨選
305,粉腸,拼盤隨選內容
347,百香果昔小蕃茄,拼盤隨選內容
346,客家小炒,拼盤隨選內容
345,紅糟肉,拼盤隨選內容
344,蒜蓉蒸生蠔,拼盤隨選內容
341,主廚時蔬,拼盤隨選內容
340,冷筍,拼盤隨選內容
339,金沙豆腐,拼盤隨選內容
338,造型流沙包,拼盤隨選內容
337,咖啡香腸,拼盤隨選內容
336,廚房當日特選,拼盤隨選內容
331,山海筍乾,拼盤隨選內容
330,香芒脆絲,拼盤隨選內容
329,香芒蝦球,拼盤隨選內容
328,蝦球,拼盤隨選內容
327,蒜味脆皮豬耳,拼盤隨選內容
323,紅燒鰻魚,拼盤隨選內容
322,金甘蟹,拼盤隨選內容
321,南煎肝,拼盤隨選內容
320,櫻花蝦白玉糕,拼盤隨選內容
319,思慕魚脆餅,拼盤隨選內容
318,肉盤,拼盤隨選內容
317,鴨肉盤,拼盤隨選內容
316,雞肉盤,拼盤隨選內容
315,豬肝捲,拼盤隨選內容
314,涼拌海蜇絲,拼盤隨選內容
313,軟絲,拼盤隨選內容
312,滷大腸頭,拼盤隨選內容
311,烏魚子,拼盤隨選內容
310,雪幸子,拼盤隨選內容
309,海蜇絲,拼盤隨選內容
308,川燙軟絲,拼盤隨選內容
307,白酌豬心,拼盤隨選內容
306,蟳丸,拼盤隨選內容
304,蝦棗,拼盤隨選內容
333,麻油烏魚膘,拼盤隨選內容
335,酥炸烏魚膘,拼盤隨選內容
326,香檸大蝦球,拼盤隨選內容
343,芒果蝦球,拼盤隨選內容
447,熟成虱目魚肚,經典魚料理
446,特製午魚繡球,經典魚料理
445,西瓜綿龍膽石斑,經典魚料理
443,紅鰷全魚,經典魚料理
442,紅鰷清肉,經典魚料理
441,石斑,經典魚料理
440,黃金鯧,經典魚料理
439,時令鮮魚,經典魚料理
438,龍膽石斑,經典魚料理
437,虱目魚一夜乾,經典魚料理
887,紅鰷石斑,經典魚料理
388,黑蒜全雞湯,羹湯料理
393,干貝豬肚湯,羹湯料理
394,花膠四寶燉盅,羹湯料理
395,螺貝干貝豬肚湯,羹湯料理
396,金沙海鮮羹,羹湯料理
401,雞仔豬肚鱉,羹湯料理
378,紅燒魚翅羹,羹湯料理
379,蟹肉手剝蝦羹,羹湯料理
380,花菇清燉蹄筋,羹湯料理
381,四寶清燉大翅,羹湯料理
398,極品佛跳牆,羹湯料理
383,傳統干貝豬肚,羹湯料理
384,鮑魚豬肚湯,羹湯料理
385,北寄貝豬肚湯,羹湯料理
386,松茸豬肚湯,羹湯料理
