food_id,food_name,category,price,shop_id
202108B001,現打果汁(杯),[202108B]無酒精性飲品,200,[AH01]阿霞飯店
202108B00101,現打果汁(壺),[202108B]無酒精性飲品,500,[AH01]阿霞飯店
202108B00201,桂花酸梅飲(壺),[202108B]無酒精性飲品,260,[AH01]阿霞飯店
202108B00203,桂花酸梅飲(熱),[202108B]無酒精性飲品,200,[AH01]阿霞飯店
202108B00302,酸梅氣泡飲(半壺),[202108B]無酒精性飲品,0,[AH01]阿霞飯店
202108B00303,酸梅氣泡飲(乙壺),[202108B]無酒精性飲品,0,[AH01]阿霞飯店
202108B004,柳橙汁(杯),[202108B]無酒精性飲品,100,[AH01]阿霞飯店
202108B00401,柳橙汁(壺),[202108B]無酒精性飲品,180,[AH01]阿霞飯店
202108B005,柳橙氣泡飲(杯),[202108B]無酒精性飲品,120,[AH01]阿霞飯店
202108B006,可口可樂(杯),[202108B]無酒精性飲品,110,[AH01]阿霞飯店
202108B00601,可口可樂(壺),[202108B]無酒精性飲品,260,[AH01]阿霞飯店
202108B007,蘋果西打(杯),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B00701,蘋果西打(壺),[202108B]無酒精性飲品,200,[AH01]阿霞飯店
202108B008,特級紅烏龍(杯),[202108B]無酒精性飲品,100,[AH01]阿霞飯店
202108B00801,特級紅烏龍(壺),[202108B]無酒精性飲品,210,[AH01]阿霞飯店
202108B010,茉香綠(杯),[202108B]無酒精性飲品,90,[AH01]阿霞飯店
202108B01001,茉莉綠(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B01002,茉莉綠(壺),[202108B]無酒精性飲品,180,[AH01]阿霞飯店
202108B011,老欉紅(杯),[202108B]無酒精性飲品,90,[AH01]阿霞飯店
202108B01101,老欉紅(熱),[202108B]無酒精性飲品,60,[AH01]阿霞飯店
202108B01102,老欉紅(壺),[202108B]無酒精性飲品,180,[AH01]阿霞飯店
202108B013,紅烏龍(壺),[202108B]無酒精性飲品,150,[AH01]阿霞飯店
202108B01301,紅烏龍(熱),[202108B]無酒精性飲品,60,[AH01]阿霞飯店
202108B014,高山青(壺),[202108B]無酒精性飲品,150,[AH01]阿霞飯店
202108B01401,高山青(熱),[202108B]無酒精性飲品,60,[AH01]阿霞飯店
202108B018,法國依雲天然礦泉水,[202108B]無酒精性飲品,140,[AH01]阿霞飯店
202108B019,菊花普洱(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B020,花草茶(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B02001,花草茶(杯),[202108B]無酒精性飲品,130,[AH01]阿霞飯店
202108B02002,花草茶(壺),[202108B]無酒精性飲品,210,[AH01]阿霞飯店
202108B021,檸檬氣泡飲(壺),[202108B]無酒精性飲品,200,[AH01]阿霞飯店
202108B022,聖佩洛氣泡水,[202108B]無酒精性飲品,160,[AH01]阿霞飯店
202108B023,柳橙氣泡飲(杯),[202108B]無酒精性飲品,120,[AH01]阿霞飯店
202108B024,檸檬氣泡飲(杯),[202108B]無酒精性飲品,100,[AH01]阿霞飯店
202108B025,桂花冬瓜檸檬,[202108B]無酒精性飲品,220,[AH01]阿霞飯店
202108B026,玫瑰蜜桃茶,[202108B]無酒精性飲品,220,[AH01]阿霞飯店
202108B027,白蓮霧茶(壺),[202108B]無酒精性飲品,210,[AH01]阿霞飯店
202108B028,東方美人茶(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B029,特製冷泡茶(壺),[202108B]無酒精性飲品,200,[AH01]阿霞飯店
202108B030,特級炭焙烏龍(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B031,金萱(熱),[202108B]無酒精性飲品,70,[AH01]阿霞飯店
202108B032,鮮搾柳丁汁(壺),[202108B]無酒精性飲品,280,[AH01]阿霞飯店
202108B033,澳式精釀有機康普茶檸檬萊姆薄荷,[202108B]無酒精性飲品,170,[AH01]阿霞飯店
202108B034,澳式精釀有機康普茶檸檬覆盆莓,[202108B]無酒精性飲品,170,[AH01]阿霞飯店
202108B035,澳式精釀有機康普茶第二件折20元,[202108B]無酒精性飲品,152,[AH01]阿霞飯店
202108B036,台灣芒果汁,[202108B]無酒精性飲品,60,[AH01]阿霞飯店
202108B037,玫瑰水潤膠原飲,[202108B]無酒精性飲品,60,[AH01]阿霞飯店
202108B038,鮮乳坊-冬瓜奶,[202108B]無酒精性飲品,280,[AH01]阿霞飯店
2024A001,炭烤野生烏子,[2024A]2024年菜,1380,[AH01]阿霞飯店
2024A002,手工粉腸,[2024A]2024年菜,350,[AH01]阿霞飯店
2024A003,經典蟳丸,[2024A]2024年菜,350,[AH01]阿霞飯店
2024A004,招牌蝦棗,[2024A]2024年菜,350,[AH01]阿霞飯店
2024A005,豬肝捲,[2024A]2024年菜,200,[AH01]阿霞飯店
2024A006,鹽水活蝦,[2024A]2024年菜,660,[AH01]阿霞飯店
2024A007,煙燻鴨(小),[2024A]2024年菜,450,[AH01]阿霞飯店
2024A008,煙燻鴨(大),[2024A]2024年菜,900,[AH01]阿霞飯店
2024A009,白斬雞(小),[2024A]2024年菜,500,[AH01]阿霞飯店
2024A010,白斬雞(大),[2024A]2024年菜,1000,[AH01]阿霞飯店
2024A011,招牌紅蟳米糕,[2024A]2024年菜,1080,[AH01]阿霞飯店
2024A012,招牌紅蟳米糕(大),[2024A]2024年菜,2080,[AH01]阿霞飯店
2024A013,爆焱生炒鱔魚,[2024A]2024年菜,800,[AH01]阿霞飯店
2024A014,爆焱生炒鱔魚(大),[2024A]2024年菜,1400,[AH01]阿霞飯店
2024A015,生炒鱔魚意麵,[2024A]2024年菜,900,[AH01]阿霞飯店
2024A016,生炒鱔魚意麵(大),[2024A]2024年菜,1600,[AH01]阿霞飯店
2024A017,避風塘金沙肋排,[2024A]2024年菜,660,[AH01]阿霞飯店
2024A018,避風塘金沙肋排(大),[2024A]2024年菜,1320,[AH01]阿霞飯店
2024A019,金桔旺來肋排,[2024A]2024年菜,880,[AH01]阿霞飯店
2024A020,金桔旺來肋排(大),[2024A]2024年菜,1760,[AH01]阿霞飯店
2024A021,筍乾老滷腿庫,[2024A]2024年菜,1400,[AH01]阿霞飯店
